"id","name","version","url","synk_check"
"116","select2_4","4.0.13","https://cdn.justcall.io/app/assets/js/select2_4.0.13.min.js","2"
"117","clipboard","1.5.13","https://cdnjs.cloudflare.com/ajax/libs/clipboard.js/1.5.13/clipboard.min.js","2"
"118","testdesktop",,"https://justcall.io/testdesktop.js?v=1","2"
"119","bootpag","1.0.7","https://cdn.justcall.io/app/assets/js/bootpag.js","0"
"120","custom",,"https://cdn.justcall.io/js/custom.js","2"
"121","owl","2.2.1","https://justcall.io/assets/js/owl.carousel.min.js","2"
"122","buttons",,"https://cdn.justcall.io/app/assets/lib/datatables/plugins/buttons/js/buttons.print.js","2"
"123","buttons",,"https://cdn.justcall.io/app/assets/lib/datatables/plugins/buttons/js/buttons.colVis.js","2"
"124","buttons","1.0.4","https://cdn.justcall.io/app/assets/lib/datatables/plugins/buttons/js/buttons.flash.js","2"
"125","dataTables","1.3.1","https://cdn.datatables.net/buttons/1.3.1/js/dataTables.buttons.min.js","2"
"126","main",,"https://builder-assets.unbounce.com/published-js/main.bundle-f38250f.z.js","2"
"127","fontawesome",,"https://justcall.io/assets/js/fontawesome.min.js","2"
"128","html5shiv","3.7.2","https://justcall.io/assets/js/html5shiv.js","2"
"129","widget",,"https://zapier.com/zapbook/embed/widget.js?services=JustCall&container=true&limit=5,","2"
"130","buttons",,"https://cdn.datatables.net/buttons/1.3.1/js/buttons.html5.min.js","2"
"131","jszip","3.1.3","https://cdnjs.cloudflare.com/ajax/libs/jszip/3.1.3/jszip.min.js","1"
"132","countrySelect",,"https://justcall.io/app/./assets/js/countrySelect.min.js","2"
"133","fakeLoader","1.1.0","https://justcall.io/app/assets/js/fakeLoader.js","2"
"134","custom",,"https://justcall.io/assets/js/custom.js","2"
"135","app-dashboard","2.5","https://justcall.io/app/assets/js/app-dashboard.js","2"
"136","bootpag","1.0.7","https://justcall.io/app/assets/js/bootpag.js","0"
"137","izi-toast","1.3.0","https://cdn.justcall.io/js/izi-toast.js","2"
"138","fakeLoader",,"https://justcall.io/app/sms_assets/fakeLoader.js","2"
"139","gridstack-h5",,"https://cdn.justcall.io/app/assets/js/gridstack-h5.js","2"
"140","raphael-min","2.1.0","https://cdn.justcall.io/app/assets/lib/raphael/raphael-min.js","2"
"141","pdfmake","0.1.27","https://cdn.rawgit.com/bpampuch/pdfmake/0.1.27/build/pdfmake.min.js","0"
"142","vfs_fonts","0.1.27","https://cdn.rawgit.com/bpampuch/pdfmake/0.1.27/build/vfs_fonts.js","2"
"143","morris","0.5.0","https://cdn.justcall.io/app/assets/lib/morrisjs/morris.min.js","2"
"144","daterangepicker2","3.0.3","https://cdn.justcall.io/app/assets/js/daterangepicker2.js","2"
"145","moment_2_29_1",,"https://cdn.justcall.io/app/assets/js/moment_2_29_1.min.js","2"
"146","underscore-min","1.12.0","https://cdn.jsdelivr.net/npm/underscore@1.12.0/underscore-min.js","2"
"147","modernizr",,"https://justcall.io/assetsindex/globals/plugins/modernizr/modernizr.min.js","2"
"148","Chart","2.9.4","https://cdn.justcall.io/app/assets/lib/chartjs/Chart.min.js","2"
"149","md5","3.1.2","https://cdn.justcall.io/app/assets/crypto/md5.js","2"
"150","global-vendors",,"https://justcall.io/assetsindex/globals/js/global-vendors.js","2"
"151","aes","3.1.2","https://cdn.justcall.io/app/assets/crypto/aes.js","2"
"152","user-pages",,"https://justcall.io/assetsindex/globals/scripts/user-pages.js","2"
"153","pleasure",,"https://justcall.io/assetsindex/globals/js/pleasure.js","2"
"154","layout",,"https://justcall.io/assetsindex/admin1/js/layout.js","2"
"155","tripledes",,"https://cdn.justcall.io/app/assets/crypto/tripledes.min.js","2"
"156","slick","1.6.0","https://justcall.io/assets/js/slick.min.js","2"
"157","d3",,"https://cdn.callroot.com/js/d3.min.js","2"
"158","soundmanager2","2.97","https://cdn.justcall.io/app/assets/js/soundmanager2.js","0"
"159","twilio",,"https://media.twiliocdn.com/sdk/js/client/v1.9/twilio.min.js","2"
"160","plugins",,"https://justcall.io/assets/js/plugins.js","2"
"161","berniecode-animator","1.1.9","https://cdn.justcall.io/app/assets/js/berniecode-animator.js","2"
"162","validator",,"https://justcall.io/assets/js/validator.js","2"
"163","contact",,"https://justcall.io/assets/js/contact.js","2"
"164","main","1.2.0","https://justcall.io/app/assets/js/main.js","2"
"165","360player",,"https://cdn.justcall.io/app/assets/js/360player.js","2"
"166","bundle","0.5.3","https://unpkg.com/gauge-chart@latest/dist/bundle.js","2"
"167","prettify","2.0","https://cdn.justcall.io/app/assets/lib/prettify/prettify.js","2"
"168","daterangepicker","2.1.24","https://cdn.justcall.io/app/assets/lib/daterangepicker/js/daterangepicker.js","2"
"169","firebase-app",,"https://cdn.justcall.io/app/assets/js/firebase-app.js","2"
"170","firebase-auth",,"https://cdn.justcall.io/app/assets/js/firebase-auth.js","2"
"171","firebase-database",,"https://cdn.justcall.io/app/assets/js/firebase-database.js","2"
"172","conversion","2.0","https://www.googleadservices.com/pagead/conversion.js","2"
"173","aes","3.1.2","https://cdnjs.cloudflare.com/ajax/libs/crypto-js/3.1.2/rollups/aes.js","2"
"174","tripledes",,"https://cdnjs.cloudflare.com/ajax/libs/crypto-js/4.0.0/tripledes.min.js","2"
"175","Chart","2.7.1","https://cdnjs.cloudflare.com/ajax/libs/Chart.js/2.7.1/Chart.js","2"
"176","countrySelect",,"https://cdn.justcall.io/app/sms_assets/js/countrySelect.min.js","2"
"177","Chart","2.7.1","https://cdnjs.cloudflare.com/ajax/libs/Chart.js/2.7.1/Chart.bundle.js","2"
"178","tippy",,"https://cdn.justcall.io/app/assets/js/tippy.js","2"
"179","sms_counter",,"https://cdn.justcall.io/app/assets/js/sms_counter.min.js","2"
"180","select2","4.0.3","https://cdn.justcall.io/app/assets/select2/select2.min.js","1"
"181","getwidgetval_vi",,"https://justcall.io/app/getwidgetval_vi.js?v=19","2"
"182","filestack","2.0","https://cdn.justcall.io/app/assets/js/filestack.min.js","2"
"183","lineprogressbar","1.1.2","https://justcall.io/assets/js/lineprogressbar.js","2"
"184","filestack",,"https://cdn.justcall.io/app/assets/js/filestack.min_3.x.x.js","2"
"185","moment-timezone-with-data",,"https://cdnjs.cloudflare.com/ajax/libs/moment-timezone/0.5.14/moment-timezone-with-data.min.js","2"
"186","getwidgetval",,"https://justcall.io/app/getwidgetval.js?v=17","2"
"187","popper",,"https://cdn.justcall.io/app/assets/js/popper.min.js","2"
"188","filestack",,"https://static.filestackapi.com/filestack-js/3.x.x/filestack.min.js","2"
"189","jspdf",,"https://cdn.justcall.io/app/assets/js/jspdf.min.js","2"
"190","html2canvas","0.4.1","https://cdn.justcall.io/app/assets/js/html2canvas.js","2"
"191","getwidgetval_vi",,"https://justcall.io/app/getwidgetval_vi.js?v=17","2"
"192","json2html",,"https://cdn.justcall.io/app/assets/js/json2html.min.js","2"
"193","html2pdf","0.8.1","https://cdn.justcall.io/app/assets/js/html2pdf.bundle.js","2"
"194","select2_4","4.0.13","https://cdn.justcall.io/app/assets/js/select2_4.0.13.min.js","2"
"195","ionicons",,"https://unpkg.com/ionicons@5.1.2/dist/ionicons.js","2"
"196","tippy","3.4.1","https://unpkg.com/tippy.js@3/dist/tippy.all.min.js","2"
"197","app-ui-notifications",,"https://justcall.io/app/assets/js/app-ui-notifications.js","2"
"198","pusher","7.0.4","https://js.pusher.com/7.0/pusher.min.js","2"
"199","Chart","2.9.3","https://cdn.jsdelivr.net/npm/chart.js@2.9.3/dist/Chart.min.js","2"
"200","callinsight-improve",,"https://cdn.justcall.io/app/assets/js/callinsight-improve.js?v=3","2"
"201","select2","4.0.13","https://cdn.justcall.io/app/assets/lib/select2/js/select2.min.js","0"
"202","select2","4.0.13","https://cdnjs.cloudflare.com/ajax/libs/select2/4.0.13/js/select2.min.js","0"
"203","countUp",,"https://justcall.io/app/assets/lib/countup/countUp.min.js","2"
"204","jscolor","2.0.4","https://cdn.justcall.io/app/assets/js/jscolor.js","2"
"205","buttons",,"https://cdn.datatables.net/buttons/1.3.1/js/buttons.html5.min.js","2"
"206","countrySelect",,"https://justcall.io/app/sms_assets/countrySelect.min.js","2"
"207","toastr",,"https://cdn.justcall.io/app/assets/js/toastr/toastr.min.js","2"
"208","wNumb",,"https://cdn.justcall.io/app/assets/js/wNumb.js","2"
"209","app-form-wizard",,"https://cdn.justcall.io/app/assets/js/app-form-wizard.js","2"
"210","countrySelect",,"https://smsservice.justcall.io/justcall-sms/app/build/js/countrySelect.min.js","2"
"211","wizard",,"https://cdn.justcall.io/app/assets/lib/fuelux/js/wizard.js","2"
"212","report",,"https://justcall.io/app/call-quality-troubleshoot/report.js?v=0","2"
"213","js?sensor=true&amp;libraries=places",,"https://maps.google.com/maps/api_p/js?sensor=true&amp;libraries=places","2"
"214","element",,"https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit","2"
"215","summernote","0.8.11","https://cdnjs.cloudflare.com/ajax/libs/summernote/0.8.11/summernote.js","1"
"216","clipboard","1.5.12","https://cdn.jsdelivr.net/clipboard.js/1.5.12/clipboard.min.js","2"
"217","trix","1.2.1","https://cdnjs.cloudflare.com/ajax/libs/trix/1.2.1/trix.js","1"
"218","jszip","3.1.3","https://cdn.justcall.io/app/assets/js/jszip.min.js","1"
"219","buttons",,"https://cdn.justcall.io/app/assets/js/buttons.html5.min.js","2"
"220","number_compliancev1",,"https://justcall.io/app/number_compliancev1.js?v=14","2"
"221","number_compliancev1",,"https://justcall.io/app/number_compliancev1.js?v=13","2"
"222","pdfmake","0.1.27","https://cdn.justcall.io/app/assets/js/pdfmake.min.js","0"
"223","twilio",,"https://media.twiliocdn.com/sdk/js/client/v1.9/twilio.min.js","2"
"224","number_compliance_niu",,"https://justcall.io/app/number_compliance_niu.js?v=13","2"
"225","number_compliancev1",,"https://justcall.io/app/number_compliancev1.js?v=10","2"
"226","smscount",,"https://cdn.justcall.io/app/assets/js/smscount.min.js","2"
"227","rtc-diagnostics1","1.0.0-beta2","https://justcall.io/app/call-quality-troubleshoot/rtc-diagnostics1.min.js","2"
"228","number_compliance",,"https://justcall.io/app/number_compliance.js?v=2","2"
"229","incomingcall",,"https://justcall.io/app/assets/js/incomingcall.js","2"
"230","export_table_module",,"https://justcall.io/app/./sms_assets/export_table_module/export_table_module.js","2"
"231","callinsights-improve",,"https://justcall.io/app/assets/js/callinsights-improve.js?v=3","2"
"232","index",,"https://cdn.justcall.io/app/assets/lib/emoji_lib_live/index.js","2"
"233","loader",,"https://justcall.io/app/call-quality-troubleshoot/loader.js?v=0","2"
"234","number_compliance",,"https://justcall.io/app/number_compliance.js?v=15","2"
"235","callinsights-improve",,"https://justcall.io/app/assets/js/callinsights-improve.js?v=4","2"
"236","filestack",,"https://justcall.io/app/sms_assets/filestack.min_3.x.x.js","2"
"237","vfs_fonts",,"https://cdn.justcall.io/app/assets/js/vfs_fonts.js","2"
"238","iziToast","1.3.0","https://cdnjs.cloudflare.com/ajax/libs/izitoast/1.3.0/js/iziToast.min.js","2"
"239","main",,"https://justcall.io/app/call-quality-troubleshoot/main.js?v=0","2"
"240","index",,"https://cdn.justcall.io/app/assets/lib/emoji_lib_live/index.js ","2"
"241","tippy",,"https://unpkg.com/tippy.js@2.0.9/dist/tippy.all.min.js","2"
"242","select2","4.0.6","https://cdnjs.cloudflare.com/ajax/libs/select2/4.0.6-rc.0/js/select2.min.js","1"
"243","main","1.2.0","https://cdn.justcall.io/app/assets/js/main.js","2"
"244","izitoast","1.3.0","https://cdn.justcall.io/app/assets/js/izitoast.js","0"
"245","masonry","4.1.1","https://cdn.justcall.io/app/assets/lib/masonry/masonry.pkgd.min.js","2"
"246","app-mail-inbox",,"https://cdn.justcall.io/app/assets/js/app-mail-inbox.js","2"
"247","twilio",,"https://media.twiliocdn.com/sdk/js/client/v1.4/twilio.min.js","2"
"248","dataTables","1.3.1","https://cdn.justcall.io/app/assets/js/dataTables.buttons.min.js","2"
