"id","line_no","script","path","updated_script","file_path","version","vulnerable","zap_col_1"
"16308","1446","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/dump/call-center-software-integration_copy.php","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/dump","0","1",
"16309","1447","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/dump/call-center-software-integration_copy.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/dump","0","1",
"16311","1450","<script src=""https://cdn.justcall.io/app/assets/lib/jquery/jquery.min.js"" type=""text/javascript""></script>","https://justcall.io/dump/call-center-software-integration_copy.php","<script src=""https://cdn.justcall.io/app/assets/lib/jquery/jquery.min.js"" type=""text/javascript""></script>","https://justcall.io/dump","0","1",
"16314","1455","<script src=""https://cdn.justcall.io/app/assets/lib/jquery-ui/jquery-ui.min.js"" type=""text/javascript""></script>","https://justcall.io/dump/call-center-software-integration_copy.php","<script src=""https://cdn.justcall.io/app/assets/lib/jquery-ui/jquery-ui.min.js"" type=""text/javascript""></script>","https://justcall.io/dump","0","1",
"16337","9","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump/call-center-software-integration_old1.php","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump","0","1",
"16338","10","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump/call-center-software-integration_old1.php","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump","0","1",
"16339","1328","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/dump/call-center-software-integration_old1.php","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/dump","0","1",
"16343","1341","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump/call-center-software-integration_old1.php","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump","0","1",
"16344","1333","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/dump/call-center-software-integration_old1.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/dump","0","1",
"16347","1344","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/dump/call-center-software-integration_old1.php","<script src=""https://cdn.justcall.io/main/assets/js/jquery-3.3.1.min.js""></script>","https://justcall.io/dump","0","1",
